*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	
A1	1181	1294	1330	1194	941	644	438	256	133	72	57	70	94	138	205	262	287	340	350	336	317	284	251	215	177	148	129	98	83	66	55	43	36	30	22	20	14	16	11	9	7	6	6	6	5	3	3	0	0	0	0	
A2	1637	1759	1818	1705	1363	994	653	378	195	105	97	172	230	285	383	437	435	504	515	486	455	405	359	298	254	205	176	137	112	96	76	61	48	39	32	24	22	15	15	12	10	7	6	5	5	3	3	3	3	0	4	
A3	1874	2443	2490	2497	2013	1422	956	585	293	141	95	86	112	192	306	440	493	622	663	657	623	561	498	420	353	296	250	199	158	136	108	86	69	55	43	35	32	26	19	18	13	10	9	8	5	6	6	3	3	4	4	
A4	1855	2162	2235	2088	1715	1247	826	497	246	121	72	59	81	128	201	284	319	407	428	424	399	356	316	270	220	185	156	125	100	80	63	53	41	34	26	21	19	15	14	12	10	6	6	3	5	3	3	3	3	4	4	
A5	1933	3348	4057	4239	3517	2692	1824	1119	583	256	158	100	76	82	114	149	164	199	216	212	193	180	163	138	114	96	86	65	53	42	34	29	23	19	16	11	9	7	8	6	6	3	3	3	3	3	3	3	0	4	4	
A6	2005	3641	4613	4846	4134	3120	2144	1320	662	308	181	114	69	59	58	65	67	79	83	79	73	69	62	55	43	36	36	27	23	17	14	12	9	7	6	6	5	5	5	3	3	3	3	3	3	0	0	0	0	0	0	
A7	1996	3675	4668	5166	4331	3246	2216	1333	677	320	179	105	67	46	35	30	27	29	29	24	24	22	19	17	13	12	15	10	7	8	5	5	4	4	2	2	2	3	3	3	0	0	0	0	3	3	0	0	4	4	0	
A8	2037	3859	4978	5467	4619	3467	2378	1428	730	339	195	118	71	45	28	24	19	18	17	16	13	12	11	10	9	6	12	6	6	5	3	3	4	2	4	2	2	3	3	3	3	3	3	0	0	0	0	3	0	4	0	
A9	2024	3892	5038	5644	4700	3543	2442	1493	753	357	203	121	71	47	31	22	16	14	13	10	10	9	7	7	6	5	8	4	4	3	3	2	2	2	4	2	0	3	3	0	0	0	3	0	0	0	0	3	0	4	4	
A10	2099	3727	4859	5221	4502	3373	2330	1412	715	337	198	119	66	44	29	21	14	12	10	9	8	7	7	6	5	5	8	4	4	3	3	2	4	2	2	2	2	0	3	3	0	3	3	0	0	0	0	0	0	4	0	
A11	1937	3668	4713	5195	4398	3363	2219	1397	684	329	190	112	73	45	34	22	16	14	11	9	8	7	6	7	6	5	8	4	4	3	3	3	2	2	2	2	2	2	0	0	3	0	0	0	0	3	0	3	0	0	0	
A12	1920	3398	4236	4530	3889	2896	1972	1208	611	283	163	101	60	39	25	20	14	12	10	9	8	7	6	6	6	6	9	4	4	4	3	3	2	2	2	2	0	2	3	3	3	3	3	3	0	3	0	3	0	0	0	
B1	1420	1536	1229	1105	845	579	385	234	129	70	59	72	94	146	219	273	298	361	368	370	342	309	279	233	200	166	141	112	90	75	61	51	40	36	26	21	19	12	14	9	10	6	6	5	3	3	3	3	0	0	0	
B2	1422	1611	1313	1156	910	632	423	264	139	78	61	68	89	150	207	272	288	354	370	360	341	314	275	225	192	170	139	110	90	76	60	51	39	33	28	21	16	15	11	9	10	9	3	5	5	3	3	3	0	0	4	
B3	1561	1717	1392	1295	954	681	461	278	142	79	58	56	76	112	171	236	258	314	333	329	306	274	247	214	173	149	127	103	83	64	57	44	36	30	24	19	16	13	8	9	6	3	6	5	3	0	3	3	3	0	0	
B4	1498	1663	1318	1155	875	639	419	249	128	64	49	44	54	83	123	172	197	238	257	247	237	220	193	164	142	117	100	80	62	56	41	33	28	23	20	15	12	10	11	6	6	3	6	5	3	3	3	3	3	4	4	
B5	1521	1778	1593	1461	1172	838	556	346	175	83	56	39	41	65	100	143	158	196	206	208	193	182	160	139	116	97	83	67	52	43	36	29	26	19	16	15	11	10	8	6	3	3	3	3	3	3	6	0	0	0	0	
B6	1627	2058	2137	1989	1681	1211	819	501	244	123	75	50	38	38	44	60	64	78	85	82	79	72	59	54	47	41	36	27	22	18	17	10	10	9	6	6	5	2	3	3	3	3	3	3	3	3	0	0	0	0	4	
B7	1660	2286	2331	2357	2004	1464	984	605	303	142	87	54	35	27	26	24	24	26	27	27	24	22	21	18	16	14	15	9	8	7	6	5	5	4	4	2	2	2	3	3	3	3	3	3	0	3	3	0	0	4	0	
B8	1601	2321	2486	2442	2007	1512	1038	623	325	149	90	52	37	27	22	18	14	17	16	15	14	11	12	10	8	7	12	5	6	4	5	3	4	4	4	2	2	2	3	0	0	0	0	0	3	3	0	3	0	4	0	
B9	1784	2426	2514	2509	2115	1563	1069	659	324	154	95	56	37	24	22	17	13	11	11	9	11	8	8	7	7	5	10	5	4	4	3	3	4	4	2	2	2	2	3	3	3	3	3	3	3	3	0	0	0	0	4	
B10	1639	2381	2609	2700	2132	1601	1076	667	335	168	91	58	38	26	19	16	12	11	10	9	8	8	7	6	6	5	8	5	4	4	3	3	2	2	2	2	5	2	3	0	3	0	0	3	0	0	3	0	0	4	0	
B11	1588	2205	2262	2266	1878	1413	969	581	292	138	80	52	33	26	19	13	11	9	9	8	7	6	7	6	6	5	9	3	3	3	3	2	3	2	2	2	2	0	3	3	0	3	0	3	3	0	0	0	0	0	4	
B12	1699	2262	2261	2259	1821	1369	902	574	285	141	81	52	34	23	18	16	11	10	10	8	7	7	6	7	5	5	8	4	3	4	3	3	2	4	2	2	2	0	3	0	3	3	3	0	3	0	0	0	0	4	0	
C1	1458	1413	884	658	442	287	198	110	67	41	42	51	72	100	130	162	164	195	201	193	183	165	146	125	106	86	77	59	54	42	32	28	25	19	16	13	11	7	8	9	3	6	3	3	3	3	3	0	0	0	0	
C2	1429	1395	878	622	446	290	186	110	67	42	43	55	74	107	141	166	176	211	213	208	191	174	152	132	110	95	81	67	56	44	37	30	25	21	14	15	12	10	8	6	7	6	6	3	3	3	3	3	3	0	0	
C3	1476	1378	890	661	448	295	189	114	63	40	36	39	47	70	91	110	112	136	141	138	129	112	100	87	75	63	55	43	37	28	27	20	16	15	12	9	9	7	5	6	3	6	3	3	3	3	0	3	0	0	0	
C4	1536	1499	950	716	499	332	226	148	82	47	36	36	39	49	66	80	89	106	109	110	99	90	81	71	58	49	46	35	29	22	20	15	13	12	10	6	7	5	3	6	3	3	3	3	3	3	3	0	0	0	0	
C5	1792	1698	1060	770	558	353	228	137	76	40	30	27	31	38	57	71	77	94	100	100	93	82	72	65	54	45	39	30	25	21	19	15	12	10	8	6	7	5	3	3	3	3	3	3	0	3	3	0	0	0	0	
C6	1536	1546	1052	850	621	416	281	164	91	49	30	23	22	29	39	48	54	65	73	70	67	60	52	48	38	33	32	23	18	15	13	10	9	8	6	4	5	3	3	3	3	0	0	3	3	0	0	0	0	0	0	
C7	1485	1618	1166	1010	748	549	346	221	113	55	34	27	19	15	18	19	21	23	23	23	22	19	18	15	12	13	14	8	6	6	5	5	4	4	4	2	2	3	3	3	0	0	0	3	3	3	0	0	3	0	0	
C8	1555	1637	1276	1054	821	578	383	240	128	64	41	28	22	15	15	15	14	14	14	14	13	11	10	10	9	8	12	5	4	4	5	5	2	4	2	2	2	3	3	3	0	0	0	3	0	0	3	0	0	0	4	
C9	1529	1717	1246	1128	857	605	400	249	130	65	40	27	21	15	15	12	10	9	10	10	8	8	6	6	6	5	8	4	4	3	3	2	4	4	2	2	2	0	0	3	3	3	0	0	0	3	0	0	0	0	0	
C10	1485	1660	1272	1115	910	625	424	262	131	66	42	29	21	17	13	12	10	10	8	8	8	8	7	7	5	6	8	4	4	3	3	3	4	2	2	2	2	2	3	3	3	0	3	0	3	0	0	3	0	0	0	
C11	1460	1618	1239	1027	784	563	370	222	117	61	38	27	20	15	13	11	9	8	8	8	8	6	7	5	5	4	7	4	3	3	3	3	2	4	2	2	2	0	0	0	0	3	0	3	3	3	0	0	0	0	0	
C12	1371	1507	1126	936	677	482	322	202	109	61	52	46	39	36	33	28	18	17	14	11	9	9	8	6	6	5	8	4	4	4	2	3	2	4	2	2	2	2	3	3	3	3	0	0	0	0	0	3	0	4	0	
D1	1654	1479	822	548	327	202	128	77	47	36	35	49	66	85	107	129	132	144	149	146	134	122	110	92	79	69	61	45	38	33	27	22	16	17	12	11	9	10	6	6	7	3	6	3	3	3	3	3	3	4	4	
D2	1591	1398	787	510	314	191	124	79	47	36	40	50	70	89	119	137	135	159	162	153	146	135	116	102	87	73	63	52	41	36	29	24	21	15	14	11	12	8	8	6	7	7	3	5	3	3	3	3	3	4	4	
D3	1577	1426	819	508	315	205	124	69	45	30	26	36	44	55	61	76	77	85	87	84	82	72	61	55	46	37	37	31	24	18	14	14	13	10	8	6	7	5	6	3	3	3	3	3	3	3	0	3	3	4	0	
D4	1926	1610	967	564	360	230	137	83	47	28	25	26	25	29	39	44	43	46	51	50	45	40	36	33	26	24	22	17	15	11	11	9	7	6	4	4	5	3	3	3	3	3	3	3	3	3	3	3	0	0	4	
D5	1732	1498	836	553	321	191	127	77	44	23	22	23	19	21	24	28	28	31	30	29	28	26	22	21	17	15	17	11	9	8	8	7	7	6	4	4	2	3	3	3	3	3	0	0	3	3	0	3	3	0	0	
D6	1684	1588	896	575	357	218	144	82	49	26	21	17	17	19	23	23	23	27	26	28	27	22	22	21	16	14	16	11	9	8	6	7	4	4	4	2	5	3	3	3	3	3	3	0	3	0	0	0	0	4	4	
D7	1689	1471	880	526	325	200	123	75	45	27	20	16	14	12	15	15	15	19	18	17	17	14	12	12	11	9	11	5	6	6	5	5	4	2	2	2	5	3	3	3	3	3	3	0	0	3	0	0	0	4	4	
D8	1594	1522	933	633	401	261	178	104	56	32	19	17	15	14	14	15	12	13	13	12	12	12	8	10	7	6	9	4	4	4	3	2	4	4	2	2	2	3	3	3	0	3	3	3	0	0	0	0	0	0	4	
D9	1595	1491	887	606	397	258	166	107	57	32	21	17	14	14	12	11	9	8	10	10	8	7	7	7	6	5	8	4	4	3	3	2	4	2	2	2	2	3	3	3	3	3	3	3	3	3	0	3	3	0	4	
D10	1816	1602	946	561	375	225	160	93	51	30	21	15	16	12	12	9	9	9	9	7	7	7	6	6	6	5	8	5	3	2	3	3	4	2	2	2	2	0	0	0	3	3	3	0	3	3	3	3	0	4	4	
D11	1563	1469	851	582	367	238	154	93	52	30	21	19	16	15	13	12	10	10	8	7	8	7	6	6	5	5	8	3	3	3	3	2	4	2	2	2	2	3	3	3	3	3	0	0	3	0	0	0	3	4	0	
D12	1612	1447	841	582	354	218	159	93	51	27	19	14	13	12	10	9	8	8	7	7	6	6	6	5	5	4	8	4	3	3	3	3	2	4	2	2	2	3	3	3	3	3	3	0	3	3	0	0	3	0	0	
E1	1580	1399	752	453	249	145	85	62	39	35	47	66	91	132	168	195	192	216	228	212	198	176	159	142	118	101	86	72	59	46	43	35	27	23	22	17	14	13	11	9	10	7	6	5	5	3	3	3	0	4	4	
E2	1809	1600	877	540	310	177	107	66	40	32	35	49	63	78	98	111	110	126	125	123	117	103	92	81	68	57	56	42	36	31	29	21	16	14	12	11	9	8	6	6	7	7	3	3	3	3	3	3	3	0	4	
E3	2008	1708	910	573	304	188	100	67	42	26	26	33	37	46	50	59	58	61	63	60	58	53	46	40	36	32	31	22	20	18	14	10	9	10	8	7	7	5	6	6	3	3	3	3	3	3	3	3	3	4	0	
E4	2004	1701	927	569	313	188	107	68	37	23	21	19	22	21	23	26	21	26	26	24	23	20	18	16	14	13	15	10	9	8	6	5	5	4	4	4	5	3	3	3	3	3	3	3	3	0	0	0	3	4	4	
E5	2044	1793	998	595	353	189	109	73	37	21	16	16	14	12	12	12	11	10	10	10	10	9	9	7	8	6	9	6	4	3	5	3	5	4	2	2	2	0	3	3	3	3	0	3	3	3	0	0	3	4	0	
E6	2080	1830	954	546	319	193	112	73	40	21	16	14	14	11	9	9	9	9	8	7	7	6	6	6	5	5	8	4	3	3	3	3	2	4	4	2	0	3	3	3	3	3	3	3	0	0	3	0	0	0	0	
E7	1976	1714	896	529	315	166	104	70	34	21	15	11	11	11	11	8	7	7	8	6	6	6	6	5	5	4	8	4	3	5	3	2	2	2	2	2	2	3	3	3	3	0	0	3	0	0	3	0	0	0	4	
E8	1938	1744	883	547	323	182	104	66	35	20	15	14	13	11	9	9	8	7	8	7	7	6	6	5	5	4	8	3	3	3	3	2	4	2	2	2	2	3	3	3	3	3	3	3	0	0	0	3	3	0	4	
E9	2019	1695	952	560	306	171	112	66	37	23	16	14	13	12	11	11	8	9	8	7	7	7	6	6	5	4	8	4	3	3	3	2	2	2	2	2	2	3	3	0	3	0	3	3	0	3	3	0	3	0	4	
E10	1845	1697	987	631	343	208	118	74	42	23	18	14	13	11	11	9	8	8	7	6	8	6	7	5	5	5	8	4	3	3	5	2	2	4	2	4	2	3	0	3	3	0	3	3	0	3	3	0	3	0	4	
E11	1763	1630	848	530	302	166	109	70	37	21	17	12	13	11	11	9	7	8	7	7	7	7	5	5	5	4	7	4	3	5	5	3	4	2	2	2	2	3	3	3	0	3	3	3	0	0	0	3	3	4	4	
E12	2171	1751	940	538	306	170	107	62	37	22	17	14	11	11	9	8	8	7	6	7	7	6	6	5	5	6	8	4	3	3	3	2	2	4	2	2	2	3	0	0	3	0	0	0	3	3	0	0	0	0	4	
