*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	810nm	820nm	830nm	840nm	850nm	
A1	8561	10187	9486	11474	9630	9637	10105	8658	5715	3523	2607	2011	1690	1428	1318	1223	1039	1066	1000	934	874	789	724	653	577	509	465	392	339	296	247	214	182	160	134	115	93	78	66	57	46	45	35	29	24	19	12	13	10	8	9	5	6	7	0	0	
A2	15408	16027	13485	16333	12393	11247	10145	8266	5037	2981	2143	1673	1437	1247	1173	1096	941	983	926	878	809	750	684	620	549	481	444	380	325	282	249	212	184	158	136	112	99	79	69	58	46	39	34	27	21	19	15	13	14	11	4	5	6	7	0	0	
A3	15147	16531	14474	18040	14080	12561	11746	9579	5930	3548	2569	1965	1708	1482	1381	1285	1102	1138	1077	1011	917	855	787	705	626	557	505	431	379	325	283	241	202	177	147	122	110	95	77	66	56	46	38	35	26	19	15	13	14	12	8	10	5	7	13	0	
A4	11306	12145	10422	13524	10763	10027	9438	7703	4691	2835	2021	1561	1348	1151	1085	1010	867	928	850	794	735	675	621	558	496	447	404	347	301	262	230	190	165	142	123	104	95	75	64	54	46	42	33	27	25	19	15	13	10	12	9	9	6	7	13	30	
A5	11903	13506	11806	15947	12383	11427	10742	8799	5410	3188	2260	1764	1535	1335	1236	1165	986	1034	980	906	845	773	702	635	561	505	457	391	338	293	258	219	188	160	142	117	97	88	74	59	53	45	32	29	26	22	18	13	14	11	8	9	5	7	13	29	
A6	8366	9782	8549	11681	9401	8782	8507	6894	4282	2596	1874	1496	1286	1140	1097	1018	872	905	868	808	749	686	626	559	501	443	408	350	302	261	229	195	168	144	123	104	90	70	62	54	42	39	31	27	23	19	15	15	10	11	9	9	11	14	13	30	
A7	8032	9881	8871	10651	8646	8006	7476	6204	3979	2487	1946	1610	1465	1307	1247	1182	1009	1041	988	927	851	788	718	647	570	516	470	402	347	299	253	226	188	168	137	117	100	82	79	58	53	46	38	30	24	20	21	17	14	12	13	10	11	15	13	61	
A8	7201	8955	8137	10129	8187	7603	7229	5873	3786	2345	1818	1484	1317	1218	1147	1091	946	979	941	861	809	743	690	618	550	502	445	381	329	289	253	216	186	159	138	114	95	87	74	58	52	43	35	28	27	20	21	16	14	12	13	15	11	7	27	30	
A9	7877	9948	9511	10681	8750	7902	7356	6062	3937	2481	1929	1588	1467	1305	1255	1178	1023	1065	1014	952	901	812	738	669	596	537	486	432	372	321	273	236	201	173	146	128	107	86	73	64	57	46	36	33	30	25	18	16	17	12	13	14	17	15	26	30	
A10	6424	8112	7454	8960	7433	6939	6603	5530	3714	2349	1867	1533	1381	1258	1211	1148	989	1035	975	917	863	784	723	640	574	521	500	426	376	328	279	234	204	169	146	124	103	90	75	65	56	45	38	32	24	22	20	16	14	11	17	10	16	15	26	90	
A11	6977	8999	8255	9951	8047	7572	7238	5975	3934	2504	1994	1694	1533	1421	1357	1305	1127	1166	1126	1053	976	882	811	720	654	576	529	446	392	334	297	251	212	188	155	128	109	95	83	68	56	51	40	35	32	25	24	19	17	15	17	14	11	14	26	59	
A12	6410	7987	7166	8073	6508	5945	5600	4713	3165	1994	1634	1402	1300	1215	1167	1105	959	997	971	888	828	761	697	624	545	495	453	382	334	290	252	213	180	154	137	113	97	80	71	59	53	45	35	30	27	19	20	19	14	15	17	14	17	15	26	58	
B1	6587	8138	7068	8445	6767	6370	6510	5389	3618	2205	1701	1391	1219	1103	1041	1000	856	889	851	792	743	688	635	576	506	440	415	350	304	265	231	197	173	146	128	102	88	82	72	61	60	46	38	32	29	25	20	19	21	15	17	19	17	23	38	89	
B2	14240	15112	12947	14876	11183	9684	8636	6873	4372	2653	2007	1613	1436	1267	1208	1134	983	1017	972	899	843	770	704	646	565	505	469	392	346	294	257	227	197	165	140	122	104	86	83	59	59	50	43	38	29	27	26	22	21	20	17	19	17	22	39	91	
B3	14175	15174	13251	16194	12219	10742	9392	7440	4690	2849	2122	1695	1479	1339	1269	1191	1038	1056	1014	932	867	794	745	654	593	530	478	406	354	304	272	233	200	171	150	127	108	93	82	66	55	49	41	35	31	28	26	22	21	19	17	19	22	22	39	89	
B4	13459	15477	13196	16808	12695	11077	9927	7992	4931	2968	2160	1693	1460	1302	1230	1136	977	1007	967	885	823	753	693	627	573	494	450	390	340	293	255	217	192	161	142	122	109	90	80	63	55	45	43	35	32	25	21	22	20	15	17	14	22	22	38	58	
B5	11427	13147	11441	14562	10939	9966	9479	7742	4947	2964	2190	1737	1537	1388	1300	1190	1026	1067	1036	947	873	801	740	670	598	523	485	412	357	309	275	235	204	172	148	123	101	94	84	66	61	48	43	39	29	28	20	22	17	19	21	19	17	22	39	58	
B6	9730	11619	10221	12879	9622	8828	8307	6781	4429	2651	2017	1601	1395	1258	1207	1132	981	1012	953	897	820	758	693	622	562	484	454	375	331	294	248	217	185	158	135	109	103	82	78	62	55	48	40	32	29	24	23	19	17	15	17	14	16	22	39	58	
B7	8629	10641	9438	11744	9137	8430	8064	6569	4278	2664	2078	1707	1531	1409	1335	1271	1095	1127	1091	996	933	854	781	705	632	566	512	426	367	332	290	245	205	182	149	128	111	97	79	68	59	51	43	32	34	25	26	22	20	15	17	14	22	22	39	90	
B8	7553	8970	7995	9644	7572	6919	6551	5395	3565	2235	1768	1467	1342	1222	1179	1128	973	1012	969	908	842	768	704	632	556	495	458	384	338	293	254	225	182	160	134	116	102	85	73	62	59	49	40	32	26	22	23	16	17	15	17	19	17	22	39	60	
B9	6946	9090	8383	9653	7727	7249	7136	6145	4158	2658	2083	1723	1535	1369	1316	1228	1045	1094	1035	957	899	827	755	688	603	552	506	435	375	320	279	242	202	184	149	127	112	86	79	69	56	42	40	35	29	27	21	22	21	19	17	14	16	22	26	59	
