*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	810nm	820nm	830nm	840nm	850nm	
B10	6447	8358	7645	8762	7034	6556	6465	5372	3681	2303	1838	1521	1378	1273	1174	1134	967	1006	962	900	840	776	703	643	563	512	477	413	368	311	271	230	197	164	140	123	102	90	72	63	52	42	35	32	29	25	23	19	21	15	13	14	17	15	26	59	
B11	6963	8726	7748	9052	7051	6626	6536	5569	3680	2378	1930	1647	1509	1413	1359	1283	1119	1158	1103	1025	952	876	791	718	638	557	510	431	373	319	282	248	206	175	146	129	109	99	79	66	59	52	43	32	31	28	21	22	17	19	17	14	17	22	26	59	
B12	6165	7761	6855	7533	5848	5339	5238	4479	3014	1990	1602	1382	1266	1210	1150	1093	949	995	958	887	828	756	698	625	542	496	458	394	349	299	256	223	191	157	134	118	94	80	68	60	56	42	40	29	26	25	20	16	17	15	13	14	17	14	26	59	
C1	6309	7890	6999	8369	6622	6521	6734	5805	3872	2376	1810	1437	1280	1105	1052	1004	872	906	851	801	757	698	642	582	512	460	426	369	327	292	252	218	183	157	139	114	101	84	75	64	56	45	37	33	29	26	24	19	17	19	22	19	22	22	39	91	
C2	13224	14411	12263	15412	11586	10114	9031	7238	4486	2688	1956	1526	1314	1128	1060	992	844	878	829	781	727	659	613	556	490	444	413	343	320	284	244	203	172	155	130	110	94	81	70	63	56	45	38	32	26	25	20	22	21	15	17	19	17	22	39	88	
C3	13941	15522	13469	17293	12824	11243	9769	7804	4709	2802	1984	1573	1319	1161	1093	1021	876	906	869	813	740	693	629	571	506	452	424	355	319	281	241	209	178	153	131	117	98	87	72	60	56	46	42	35	29	25	23	19	17	19	17	19	22	23	39	89	
C4	11420	12695	11051	15353	11327	10249	9378	7603	4615	2776	2003	1571	1339	1173	1103	1061	892	943	876	819	765	706	652	585	522	479	424	366	326	285	251	210	176	155	132	114	100	87	69	63	57	49	38	32	29	28	24	22	20	20	17	19	22	29	39	88	
C5	10069	11451	9887	13449	10054	9310	8928	7353	4588	2774	2033	1582	1357	1209	1128	1072	920	955	886	826	771	706	644	582	515	456	419	353	310	280	237	198	181	154	131	106	99	86	74	59	50	45	34	32	29	25	21	22	21	19	17	19	22	30	39	89	
C6	8211	9653	8629	11722	9012	8453	8335	6875	4453	2739	2011	1630	1431	1295	1218	1165	1004	1043	1000	930	862	791	733	655	587	531	482	407	356	318	267	232	201	166	144	126	109	93	82	68	64	52	43	38	35	27	24	25	21	19	22	19	22	22	51	90	
C7	7438	9345	8519	10894	8563	8214	8224	6883	4506	2747	2137	1846	1698	1539	1499	1375	1160	1174	1105	1011	946	851	781	702	630	547	507	433	376	330	288	248	208	177	154	126	117	90	77	74	60	54	44	40	32	28	23	22	20	19	22	19	22	22	39	89	
C8	7476	9249	8324	10714	8453	7934	7884	6610	4253	2582	1937	1586	1387	1251	1188	1122	969	1000	961	891	822	753	695	631	559	500	452	382	328	289	259	215	189	159	136	117	103	86	74	69	56	55	41	32	29	28	24	22	20	19	21	19	22	29	39	89	
C9	6728	8554	7957	10635	8471	8092	7911	6668	4333	2686	2063	1709	1520	1388	1324	1256	1102	1133	1111	1012	942	862	791	730	634	569	519	429	382	338	291	243	208	180	161	134	113	100	85	74	62	52	43	36	34	30	29	25	24	19	21	19	22	29	52	88	
C10	6712	8581	7707	9249	7224	6965	7024	6036	3979	2489	1912	1560	1394	1249	1185	1134	970	1011	952	886	815	760	692	625	555	489	467	389	342	298	257	220	187	161	137	113	101	87	74	65	56	48	41	36	29	28	23	22	20	23	21	24	22	29	39	89	
C11	6619	8555	7641	8663	6715	6286	6488	5519	3726	2394	1886	1584	1417	1284	1246	1144	1004	1024	976	889	849	772	706	651	580	521	502	457	404	345	289	241	211	178	150	126	113	91	80	73	64	52	44	33	32	27	23	25	20	23	22	24	22	29	38	89	
C12	6363	8243	7478	7983	6290	5871	5713	4917	3420	2203	1783	1520	1382	1262	1213	1155	994	1050	993	934	866	797	736	660	594	535	501	445	390	338	289	240	215	179	154	130	112	94	83	72	59	45	46	35	34	31	23	22	21	19	21	24	22	29	51	118	
D1	7031	8890	7874	9426	7485	7039	7021	5819	3935	2427	1860	1525	1323	1196	1125	1081	926	980	945	874	820	748	686	615	559	494	454	376	333	292	259	218	180	163	140	120	96	91	77	70	60	49	44	36	33	31	24	26	25	23	22	24	28	37	52	119	
D2	13423	14659	12272	13812	10366	8768	7622	5972	3807	2329	1755	1416	1226	1112	1052	992	860	879	858	796	735	681	624	572	515	446	415	353	310	267	239	204	172	150	130	116	99	80	71	60	59	48	41	36	30	28	24	22	21	23	22	24	22	30	53	120	
D3	13147	14678	12384	14831	11046	9490	8159	6393	4073	2472	1852	1508	1323	1166	1108	1057	907	947	903	831	789	719	656	588	528	467	431	367	326	281	244	211	185	160	134	118	104	86	72	62	60	49	44	38	29	28	23	25	21	19	26	25	22	30	52	120	
D4	13648	15209	12837	15606	11713	10134	8885	7044	4465	2708	2041	1621	1420	1239	1173	1108	962	988	967	882	815	745	689	628	553	485	454	374	331	291	251	217	185	165	141	127	103	91	77	69	57	49	41	38	32	28	27	22	25	24	26	24	22	37	52	121	
D5	10676	12205	10678	13629	10397	9468	8914	7309	4657	2871	2125	1677	1481	1319	1249	1194	1027	1070	1015	942	871	796	731	664	597	526	480	401	354	311	271	232	199	175	147	128	113	92	80	69	64	52	44	38	32	30	26	22	24	23	21	24	28	37	52	120	
D6	8760	10596	9371	11586	8917	8294	7812	6474	4285	2650	2049	1663	1497	1325	1275	1217	1045	1094	1039	968	918	847	752	681	620	542	500	431	370	329	285	247	208	185	150	128	113	101	87	74	60	55	41	40	36	31	26	25	24	27	26	24	28	30	52	120	
D7	6858	8621	7720	9317	7257	6761	6442	5382	3560	2248	1789	1481	1326	1209	1172	1123	949	975	940	879	833	767	692	619	558	501	442	382	338	291	259	218	190	159	140	121	106	87	74	65	56	52	44	38	32	31	26	22	24	23	21	24	23	30	53	119	
D8	6376	7911	7218	8877	7020	6640	6432	5327	3512	2182	1700	1401	1265	1176	1113	1069	919	962	932	859	805	740	680	617	549	484	443	376	329	287	251	216	186	161	141	123	101	86	75	63	61	49	44	38	29	28	26	22	24	23	22	24	22	30	53	90	
D9	6694	8606	7894	9427	7178	6738	6480	5469	3568	2249	1753	1478	1331	1216	1163	1094	960	996	953	892	830	762	695	624	555	494	457	378	334	294	252	221	191	164	131	124	107	90	80	66	59	49	41	35	32	28	24	22	24	23	21	19	22	30	52	89	
D10	6069	8009	7219	7660	5949	5508	5502	4738	3168	2025	1608	1358	1214	1109	1034	985	865	896	858	792	734	687	632	569	500	445	407	351	306	264	233	201	181	147	129	105	92	83	68	60	53	49	42	33	29	28	24	22	21	19	21	24	22	30	52	91	
D11	6797	8680	8253	8465	6569	5963	5753	4916	3436	2175	1758	1521	1383	1250	1178	1117	970	1028	975	905	838	771	718	651	576	525	482	398	353	304	265	231	200	165	146	126	110	91	80	67	60	52	47	38	32	31	23	22	24	24	22	24	22	29	52	119	
D12	7246	9219	8251	8544	6658	5929	5687	4761	3276	2166	1753	1519	1371	1274	1214	1178	1016	1049	1018	933	877	804	728	666	592	527	486	420	368	315	271	232	202	171	143	124	110	91	82	66	56	49	44	35	32	28	27	22	24	19	21	19	22	30	53	120	
E1	4233	6083	6672	6779	5614	4515	3755	2940	2176	1439	1287	1154	1088	1025	1022	988	857	900	874	813	770	704	649	593	524	470	425	352	319	272	245	207	172	154	133	110	96	84	74	64	53	49	41	32	29	28	26	22	24	23	27	24	28	37	53	121	
E2	3799	5662	6048	5837	4750	3749	3204	2562	1877	1274	1113	1029	946	894	888	849	739	778	749	715	665	611	559	507	461	408	369	314	279	243	213	185	158	134	117	96	85	70	67	58	53	43	38	33	27	25	21	22	21	23	22	24	28	37	52	120	
E3	4185	5977	6658	6600	5522	4288	3654	2959	2150	1485	1337	1219	1143	1092	1057	1009	914	953	911	846	791	754	689	612	568	497	467	405	358	313	273	231	199	173	149	126	107	89	80	66	57	52	44	41	32	28	26	22	21	23	22	24	28	37	52	119	
E4	5361	7925	8642	8737	7224	5858	4915	3936	2907	1945	1705	1542	1445	1374	1363	1330	1133	1202	1154	1079	1006	943	848	776	694	611	553	478	410	348	313	270	232	197	173	148	125	104	95	80	66	60	50	41	37	34	27	25	24	27	26	28	28	30	53	119	
E5	4667	6770	7791	7854	6748	5314	4542	3696	2666	1805	1579	1452	1372	1326	1290	1249	1111	1138	1111	1037	971	894	815	743	656	581	543	450	402	346	296	256	223	192	163	139	115	102	88	78	66	55	49	38	35	33	30	28	27	23	26	24	28	37	54	126	
E6	5240	7654	8664	8536	7210	5704	4790	3804	2812	1912	1671	1533	1437	1417	1360	1316	1147	1209	1169	1094	1018	937	855	775	693	611	564	471	411	357	319	269	239	197	172	145	129	105	91	75	66	61	52	44	36	34	27	26	28	24	27	30	30	30	54	124	
E7	3669	5458	6095	6137	5156	4027	3400	2720	1968	1343	1192	1095	1053	1019	1003	951	822	874	844	794	737	683	621	566	515	446	426	349	314	267	236	199	173	150	130	114	102	82	74	66	58	46	37	36	31	26	24	23	25	24	22	24	29	31	54	123	
E8	4337	6326	6833	6680	5422	4335	3594	2860	2052	1407	1252	1159	1100	1065	1030	995	860	925	873	846	784	723	663	600	536	475	445	366	320	283	244	217	183	158	133	119	100	86	77	65	55	54	43	36	31	28	27	26	25	24	27	25	29	30	55	123	
E9	5417	7930	8980	8916	7258	5672	4799	3785	2717	1887	1657	1517	1453	1390	1367	1312	1162	1203	1151	1110	1026	934	853	776	700	636	553	476	412	359	318	273	231	201	174	147	125	111	101	77	72	62	51	43	36	32	34	29	28	27	27	30	35	38	68	126	
E10	4575	6698	7511	7316	6134	4833	4036	3357	2396	1672	1467	1339	1262	1203	1174	1131	982	1021	993	939	866	818	734	679	611	546	514	460	407	358	309	250	221	182	157	138	118	102	83	75	66	58	48	39	33	35	34	23	25	24	27	30	30	38	67	125	
E11	4809	6920	7264	6551	5187	3893	3177	2524	1810	1260	1099	1037	963	917	896	849	768	793	754	713	660	627	565	516	463	408	381	324	280	241	222	184	158	142	115	104	91	76	64	62	55	47	40	34	28	26	24	26	25	24	22	25	29	39	55	128	
E12	4354	6183	6927	6619	5306	4017	3376	2601	1942	1345	1212	1147	1118	1087	1045	1023	890	954	914	869	787	754	692	613	549	498	461	377	335	294	258	223	193	157	142	117	106	86	78	70	60	55	46	39	34	30	29	24	26	26	28	31	30	42	73	161	
