*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	810nm	820nm	830nm	840nm	850nm	
C8	4248	3488	3851	12296	16462	16249	14518	10722	5662	2769	1517	946	633	445	352	302	246	251	247	255	303	293	242	261	419	956	2533	6256	12485	18212	18712	14627	11271	9439	8027	6629	5286	4072	3154	2446	1979	1592	1342	1062	839	671	540	427	354	290	244	196	165	149	162	200	
C9	3942	3104	3538	11241	15215	14739	13211	10076	5269	2538	1379	851	583	411	335	284	235	251	254	238	251	218	187	203	326	767	2075	5333	10985	16867	18119	14539	11395	9525	8177	6737	5451	4218	3259	2605	2118	1760	1408	1141	923	758	613	487	386	331	253	214	190	176	194	230	
C10	3520	2656	2941	10050	13709	13279	11987	9060	4772	2250	1185	716	485	357	275	236	190	210	214	205	190	167	139	152	247	596	1629	4227	9030	14786	16699	13939	10918	9290	8010	6694	5402	4169	3224	2587	2084	1726	1443	1150	943	748	628	494	390	332	277	219	197	169	193	202	
C11	2790	2106	2211	7091	9508	9599	8561	6797	3600	1709	935	568	388	269	219	187	154	168	168	151	125	102	88	101	164	383	1007	2524	5191	8196	9175	7589	5850	5053	4454	3889	3201	2520	1944	1562	1307	1139	988	804	689	551	441	362	286	235	208	176	151	139	151	203	
C12	4122	5942	6973	6790	5687	4144	3291	2578	1952	1372	1250	1185	1180	1151	1137	1110	975	999	976	922	855	800	731	648	577	510	479	397	354	299	269	228	191	164	133	119	102	86	77	65	51	46	40	34	26	25	23	21	20	18	21	18	21	21	38	58	
D1	3725	5669	6461	6423	5441	4052	3370	2580	1968	1328	1207	1105	1062	1029	996	961	863	901	862	822	766	716	646	583	521	462	426	354	308	271	236	198	178	154	134	110	95	79	72	59	51	44	38	29	29	24	23	19	20	19	17	19	22	21	39	88	
D2	12350	9742	10170	21563	26477	25567	19351	13009	7012	3440	2241	1559	1168	954	822	735	658	705	780	1047	1743	1902	1750	1711	1710	1923	2642	3812	4752	4517	3615	2582	1988	1692	1391	1080	866	650	517	421	341	266	222	170	140	115	95	74	65	55	51	42	43	43	64	119	
D3	15146	11644	12212	30781	41687	39141	31043	20152	10651	5620	3241	2010	1438	1030	801	707	585	641	719	1114	2361	2866	2685	2622	2758	3370	4839	7169	8500	8263	6312	4510	3479	2812	2300	1806	1385	1045	823	649	505	422	326	278	218	180	140	116	91	79	68	66	56	51	63	116	
D4	15787	12241	13448	38187	50567	48184	38432	25629	13084	6667	3881	2341	1597	1110	901	730	577	645	710	1191	2655	3718	3489	3499	3826	5154	7933	11341	14115	13511	10648	7445	5314	4448	3568	2735	2078	1635	1230	944	777	604	495	393	314	251	197	172	131	115	93	82	74	67	95	122	
D5	16706	12826	14539	43933	59412	56926	46143	31875	16234	7926	4712	2790	1863	1264	895	698	548	579	646	1115	2728	4105	3848	3934	4741	6747	10822	16775	20637	19924	15544	11118	8246	6578	5364	4120	3127	2318	1748	1362	1065	835	697	544	435	338	274	214	177	143	131	108	94	94	104	145	
D6	15143	11899	13750	44126	58755	56425	46166	30721	15616	7563	4346	2608	1694	1138	784	615	491	523	564	958	2448	3735	3690	3773	4544	6632	10591	16144	19950	19200	14988	10844	7988	6419	5226	4011	3019	2225	1698	1297	1045	826	661	523	412	338	259	208	175	139	116	103	95	86	101	142	
D7	13862	11106	13073	43718	59605	58727	47651	31835	16014	7660	4433	2604	1641	1073	742	569	435	452	491	826	2216	3676	3693	3877	4619	6673	11004	16556	20576	19776	15523	11254	8295	6660	5317	4155	3132	2327	1768	1395	1091	868	704	559	436	348	277	217	181	152	125	110	92	93	102	146	
D8	12723	10223	12198	43657	59988	57745	48262	32157	16047	7644	4326	2482	1586	1020	687	521	409	406	454	770	2058	3553	3689	3895	4718	6942	11291	16913	20922	20371	16103	11526	8507	6863	5533	4322	3235	2408	1831	1430	1120	890	707	564	436	355	277	226	185	155	133	115	100	94	115	178	
D9	13386	11060	13007	47960	66193	65775	52838	35337	17817	8503	4835	2750	1726	1123	724	548	410	412	448	762	2066	3739	3998	4266	5389	8330	13400	20069	24379	23784	18647	13374	10052	7905	6365	4932	3719	2761	2106	1619	1295	1009	795	656	511	405	319	258	197	171	145	121	107	101	116	148	
D10	13331	10812	13128	50146	69118	67828	55987	36552	18113	8563	4885	2731	1730	1078	712	520	376	376	411	713	1981	3977	4517	4863	6029	8643	13268	18928	22263	20992	16477	11709	8876	7025	5646	4389	3330	2492	1901	1460	1143	926	733	566	474	379	302	235	199	159	140	117	99	79	114	144	
D11	12688	10463	13117	52202	73394	72553	57955	37221	18109	8482	4782	2620	1620	1000	632	458	336	335	360	653	1857	4373	5718	6194	6518	6951	7673	8544	8926	7935	6404	4921	3871	3182	2611	2130	1706	1370	1085	884	735	591	487	383	323	268	216	174	148	123	104	89	76	85	87	143	
D12	5522	7814	8669	8355	6589	4855	3821	2973	2205	1495	1330	1244	1218	1184	1155	1104	963	1005	972	904	852	784	717	660	571	513	462	395	344	297	260	231	197	165	138	123	103	90	75	66	55	46	39	35	31	27	20	18	20	18	17	18	16	21	38	88	
E1	1789	1367	1211	2892	3483	3889	4109	3593	2193	1340	1066	788	719	634	533	511	415	400	362	311	258	213	192	195	263	404	578	651	575	440	315	230	197	182	172	144	130	102	90	75	63	58	54	48	40	35	32	28	30	26	25	24	22	29	38	88	
E2	1706	1411	1133	2653	3185	3546	3858	3303	2021	1232	944	714	637	554	468	464	383	373	346	292	241	201	174	179	245	385	537	597	565	421	298	223	181	172	159	133	120	99	84	77	68	58	52	49	42	36	29	29	27	27	25	24	27	29	39	89	
E3	1666	1222	1096	2700	3353	3739	4048	3548	2121	1279	988	731	655	565	494	466	383	376	358	302	252	208	184	191	258	406	583	668	615	468	336	235	209	192	178	159	124	108	87	88	72	64	53	45	45	35	35	37	31	30	25	23	28	29	39	88	
E4	1936	1534	1309	2708	3246	3657	3871	3349	2015	1218	937	706	631	535	460	441	367	367	342	297	245	206	178	192	255	399	576	665	604	463	324	232	194	184	167	147	126	106	87	82	75	60	59	47	45	38	34	31	27	26	26	24	28	29	51	88	
E5	1795	1420	1257	2762	3306	3577	3778	3242	1939	1142	854	621	531	452	393	380	309	326	310	271	236	198	172	183	252	405	602	700	648	494	353	251	214	204	182	162	139	113	98	87	80	70	63	53	48	41	41	31	31	30	33	33	27	30	52	88	
E6	1891	1484	1286	2663	3161	3403	3495	2950	1796	1053	741	542	456	373	322	303	251	272	267	245	205	181	160	168	233	393	585	712	668	530	382	273	229	209	189	172	143	125	103	94	87	73	66	57	50	43	41	38	37	33	25	29	27	29	53	89	
E7	1699	1188	1065	2539	3093	3357	3561	2949	1710	997	685	494	401	323	269	258	215	239	248	224	189	163	148	162	225	378	592	750	732	585	424	301	255	235	218	191	159	133	115	99	88	77	73	61	55	54	46	37	37	34	35	28	33	29	51	118	
E8	1741	1433	1174	2486	2998	3158	3272	2704	1574	854	594	409	318	248	219	201	177	194	216	205	184	155	142	160	229	381	576	692	671	522	374	264	229	215	201	173	140	125	106	96	80	74	63	62	52	47	44	38	34	35	35	28	28	36	53	92	
E9	1872	1390	1197	2686	3225	3374	3380	2841	1535	839	549	374	287	214	184	170	147	167	193	190	179	159	142	157	235	399	625	808	822	656	479	341	285	267	256	220	184	152	131	108	102	97	86	72	65	58	53	49	41	38	34	38	33	36	51	118	
E10	1355	917	848	1980	2341	2405	2194	1644	873	471	283	186	140	112	93	81	67	73	75	67	62	60	49	42	42	42	47	54	60	60	54	55	50	53	51	49	46	46	43	41	40	35	32	29	29	27	24	22	20	24	21	24	22	30	38	88	
E11	890	767	651	1203	1338	1249	1053	704	379	210	132	88	70	57	46	40	32	30	31	27	25	21	22	19	16	15	17	14	16	16	17	16	18	17	16	17	17	18	16	18	19	19	20	16	16	14	15	16	17	15	13	19	22	23	38	89	
E12	2116	1573	1421	3147	3768	4134	4377	3710	2270	1371	1101	849	757	669	556	552	439	430	389	327	273	225	197	203	263	423	603	704	677	498	358	251	207	200	183	155	131	105	92	79	67	63	57	48	42	38	35	31	31	30	26	24	28	30	51	119	
F1	2777	2313	2345	7071	9260	8953	8280	6525	3444	1615	886	525	361	248	203	172	137	149	146	142	122	98	88	98	156	364	961	2387	4969	7929	9011	7422	5928	5063	4561	3953	3196	2522	1943	1586	1301	1133	985	809	670	552	448	343	295	240	210	168	143	140	155	176	
F2	2470	1869	2048	6293	8340	8173	7679	5897	3101	1459	791	479	321	228	185	158	125	140	144	133	125	102	91	103	161	365	894	2173	4316	6631	6974	5555	4415	3802	3444	2924	2472	1953	1519	1226	1038	940	795	660	570	461	389	311	244	224	172	147	128	127	143	179	
F3	2559	2089	2102	5780	7242	7272	6814	5298	2836	1401	790	465	325	234	189	157	130	143	150	137	122	102	89	97	154	338	844	1952	3744	5400	5425	4158	3276	2863	2585	2300	1920	1531	1171	937	835	747	644	554	473	388	327	274	212	182	156	126	116	121	132	178	
F4	2608	1871	1942	5834	7409	7718	7044	5618	2927	1409	822	494	344	241	201	172	143	152	163	153	139	123	105	120	181	394	946	2111	3768	4933	4645	3467	2782	2395	2230	1944	1612	1264	1001	835	730	669	569	495	428	347	309	253	208	175	156	119	109	109	130	151	
F5	2666	2159	2109	5290	6755	6796	6450	5060	2716	1337	754	464	338	237	197	164	140	148	158	147	146	125	111	120	189	389	907	1961	3248	4148	3669	2744	2156	1947	1805	1570	1311	1033	832	685	573	539	480	421	358	297	251	208	176	156	120	113	99	87	118	149	
F6	2312	1704	1802	5064	6602	6805	6586	5050	2678	1317	759	467	336	238	195	165	130	147	154	146	148	134	116	127	190	406	894	1905	3174	3794	3377	2462	1941	1748	1596	1397	1177	951	759	631	546	516	439	380	336	285	232	194	161	140	120	99	89	94	118	149	
F7	2351	1908	1891	4635	5831	5988	5734	4540	2395	1190	686	420	297	215	175	147	119	130	138	128	133	119	100	111	169	344	804	1662	2832	3416	2996	2188	1737	1580	1431	1247	1073	831	673	557	490	449	402	345	290	261	213	177	150	139	107	90	86	89	115	151	
F8	1957	1551	1434	3765	4658	4763	4399	3303	1733	853	489	307	221	160	122	110	88	97	100	97	107	98	82	88	108	163	286	455	650	732	636	496	422	404	379	346	308	253	221	187	185	172	157	139	121	103	89	84	69	65	57	52	50	51	66	121	
F9	1670	1239	1223	2927	3531	3516	3087	2234	1172	586	340	207	155	111	88	80	66	70	71	72	66	63	52	51	52	62	91	120	157	185	173	145	144	144	141	127	120	111	102	92	89	83	80	69	67	58	50	47	43	34	35	33	33	44	65	122	
F10	1419	1264	1083	2083	2377	2194	1886	1317	671	346	206	134	101	75	62	54	43	44	43	43	39	33	31	27	24	23	27	34	42	49	49	45	45	47	47	45	45	40	44	40	43	39	40	38	32	28	27	25	24	23	22	23	22	30	52	118	
F11	799	579	520	1173	1361	1262	1028	693	366	188	111	80	60	48	44	37	31	29	28	26	23	21	19	18	15	14	16	15	17	18	19	18	18	19	20	17	21	17	19	24	20	20	20	19	16	16	17	16	13	15	17	19	23	22	40	90	
F12	3001	2364	2501	7702	10347	10087	9184	7323	3808	1782	948	576	394	275	222	187	158	164	172	148	126	102	92	105	176	412	1086	2698	5703	9260	10442	8437	6795	5763	5189	4428	3584	2857	2167	1749	1462	1278	1118	903	752	613	496	403	317	278	234	190	168	153	156	204	
G1	11547	10187	13080	51717	70445	70838	56309	36236	17569	8022	4554	2501	1584	1004	607	445	321	327	358	629	1841	4171	5551	6029	6270	6332	6660	7000	7024	6192	5161	3990	3230	2671	2193	1836	1493	1212	961	786	641	522	436	364	295	247	206	166	144	124	106	96	79	81	77	152	
G2	11384	9682	12166	45684	63975	64063	51644	33871	16852	7697	4464	2491	1568	969	626	455	338	340	379	637	1791	3602	4297	4648	5382	6882	9574	12556	14354	13171	10333	7514	5744	4613	3745	2930	2248	1717	1310	1053	837	654	553	438	356	279	228	187	155	128	108	96	81	82	105	152	
G3	10914	8970	11190	43319	58985	58040	47859	32061	15830	7234	4228	2337	1457	915	582	431	324	319	338	548	1447	2908	3495	3838	4591	6343	8966	11799	13169	11879	9362	6619	5080	4027	3251	2519	2000	1489	1134	865	717	579	471	380	309	258	208	171	131	120	97	84	78	75	105	178	
G4	8778	7242	8429	29218	40404	40495	35062	23975	12019	5401	3166	1758	1127	710	470	360	265	263	266	383	899	1849	2224	2544	3230	4711	6707	8308	8699	7388	5524	3819	2924	2400	1996	1591	1211	925	691	541	456	391	323	269	225	180	149	118	100	87	77	69	61	66	64	147	
G5	7368	5885	6722	23650	31994	33117	29167	19878	10093	4777	2787	1555	992	653	425	314	247	240	240	338	762	1504	1843	2109	2674	3816	5462	6546	6544	5292	3917	2732	2075	1721	1483	1179	937	706	548	444	378	322	276	232	192	166	134	111	95	83	79	68	68	60	79	147	
G6	6031	4886	5258	16533	22271	22888	20885	14750	7626	3597	2162	1214	804	525	365	273	207	206	200	267	567	1091	1291	1451	1873	2779	3888	4732	4585	3662	2619	1823	1432	1247	1081	897	706	559	425	330	293	265	226	188	163	133	117	90	76	67	66	53	56	59	79	121	
G7	4840	3737	4017	13256	18144	18908	17025	12544	6373	3089	1862	1070	701	467	317	243	182	179	172	228	472	860	1015	1127	1500	2309	3302	4108	4039	3333	2397	1653	1311	1138	1006	836	653	512	396	323	276	246	204	183	152	125	110	88	77	70	61	57	54	58	67	148	
G8	3977	3487	3439	9831	13167	13785	12839	9423	4930	2497	1472	858	581	388	264	205	155	153	147	180	349	605	694	771	1046	1648	2517	3186	3220	2620	1916	1319	1060	967	817	679	564	429	348	282	247	219	188	163	128	114	96	89	72	65	57	47	44	51	66	121	
G9	3537	3099	2961	8010	10496	11061	10519	7837	4152	2051	1282	756	527	349	251	194	147	144	138	161	291	473	501	563	772	1235	1953	2568	2659	2151	1595	1097	910	789	695	600	494	383	310	259	225	198	176	146	124	111	96	77	68	63	56	49	45	51	66	119	
G10	1940	1571	1410	3565	4364	4383	3833	2744	1403	710	414	258	176	128	97	79	60	62	63	75	109	118	106	94	88	92	94	98	109	103	98	81	79	75	72	67	62	56	52	51	50	52	40	38	37	34	30	28	24	26	26	24	23	30	39	88	
G11	1213	1162	954	1348	1379	1250	1019	695	375	186	117	83	61	47	41	36	29	30	30	28	26	25	21	18	19	15	16	15	16	20	16	16	16	18	16	17	17	18	17	21	20	23	17	16	13	16	15	12	17	15	17	14	22	30	52	88	
G12	11138	9643	12228	49712	68901	67657	54937	35389	16785	7680	4398	2397	1500	922	582	420	307	308	337	623	1724	3868	5140	5621	5746	6065	6476	7012	7164	6302	5148	4025	3222	2644	2204	1771	1432	1154	933	783	634	511	416	346	280	246	200	161	129	119	103	83	85	89	93	151	
H1	1768	1986	2107	2974	3014	2748	2355	1743	1054	626	494	405	371	338	312	310	262	264	256	241	230	208	184	168	148	133	121	104	86	80	72	59	53	49	39	39	35	28	30	29	27	26	21	19	16	17	18	15	17	16	17	14	17	22	39	88	
H2	2107	2679	2626	3115	3219	2777	2400	1756	1110	656	521	425	386	358	327	317	275	272	256	246	226	205	189	166	149	131	126	103	93	81	71	62	50	48	43	37	36	30	30	27	26	23	21	19	18	17	15	13	14	16	17	19	22	29	39	88	
H3	1718	2057	2207	2972	3068	2805	2459	1790	1101	653	514	423	383	353	322	299	256	261	248	231	218	200	184	164	148	127	116	98	86	77	69	59	52	47	41	37	33	28	29	28	26	22	18	19	16	17	15	13	18	15	17	19	22	30	40	119	
H4	1787	1992	2156	3043	3253	2962	2539	1877	1140	683	534	440	397	373	334	318	274	272	265	248	233	210	189	172	152	136	128	103	90	80	71	59	51	48	42	40	35	30	28	27	27	26	24	22	18	17	18	13	14	15	13	14	22	29	39	91	
H5	2110	2469	2448	3061	3131	2805	2452	1744	1098	644	503	414	384	349	315	292	254	254	241	223	206	189	178	159	142	126	113	97	85	75	65	56	48	43	39	35	31	28	25	24	26	24	20	19	16	17	15	16	14	15	17	19	23	29	38	120	
H6	1871	2111	2347	3228	3501	3112	2741	2032	1269	723	586	466	443	400	367	357	294	308	287	272	248	222	204	186	168	149	133	118	97	84	77	64	58	51	43	39	35	33	33	27	27	19	20	19	18	16	18	16	17	15	17	19	22	29	53	89	
H7	2130	2690	2548	3084	3065	2752	2365	1785	1133	663	526	433	384	356	331	318	258	276	263	237	223	202	184	174	151	134	122	106	96	82	71	60	51	47	43	36	35	31	28	28	23	26	21	17	16	14	12	16	14	11	18	19	22	22	39	122	
H8	1695	2065	2339	2901	3000	2658	2338	1763	1124	677	558	452	412	377	349	345	288	298	276	264	249	215	205	183	163	150	139	116	99	91	76	67	58	50	46	38	35	30	30	30	26	23	20	19	18	17	15	16	17	15	17	19	17	22	52	88	
H9	2139	2814	2931	3650	3682	3334	2887	2174	1386	831	657	546	500	443	412	389	338	341	335	300	283	260	237	207	191	163	159	135	121	102	88	75	66	58	54	41	41	36	34	31	30	27	20	22	19	17	15	16	17	15	22	14	22	29	39	89	
H10	2506	3232	3118	3567	3477	3037	2674	1938	1266	744	603	498	450	417	378	359	316	309	289	282	257	239	225	203	174	156	146	124	111	94	81	71	64	57	49	42	41	33	34	30	26	26	20	22	19	17	15	16	17	19	17	19	23	29	52	121	
H11	1818	2240	2626	3394	3660	3209	2838	2166	1302	774	624	512	464	432	408	384	331	340	324	305	285	253	237	215	191	169	158	129	114	103	90	74	65	56	53	43	40	38	31	30	30	30	23	19	19	17	18	16	17	20	13	19	23	30	39	90	
H12	4452	6639	7258	6997	5633	4399	3663	2748	2058	1364	1214	1080	1028	986	947	957	813	852	827	772	714	655	602	552	496	434	409	346	301	249	229	188	162	145	123	99	93	77	67	59	51	49	37	30	27	22	24	19	21	19	17	19	22	30	53	122	
