*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	810nm	820nm	830nm	840nm	850nm	
A1	3942	5966	6782	6894	5647	4416	3645	2822	2101	1395	1241	1089	1045	998	958	919	795	832	801	749	703	647	592	540	478	424	393	331	285	254	216	188	157	138	117	100	81	68	61	49	41	34	28	23	20	16	17	12	10	7	8	9	5	7	13	29	
A2	6632	5065	4964	9909	12731	12370	10567	7690	4323	2382	1658	1229	992	843	735	688	601	620	623	626	695	673	631	640	796	1271	2422	4124	5417	5252	4143	2957	2298	1923	1674	1363	1065	825	644	530	437	359	290	229	190	156	120	102	78	69	58	47	39	37	39	58	
A3	5207	3996	3859	8172	10430	10500	9471	7094	4006	2158	1414	1016	792	648	555	515	450	479	501	497	545	561	520	569	816	1456	2645	4093	4928	4469	3419	2422	1887	1656	1422	1196	946	736	572	458	396	326	282	225	190	146	125	98	80	64	62	47	39	36	51	61	
A4	4112	3086	2872	6257	8011	8221	7804	5843	3346	1776	1167	777	604	482	421	391	328	378	393	397	421	420	397	449	663	1218	2176	3164	3754	3281	2451	1737	1352	1203	1076	908	731	583	460	374	317	276	226	189	155	134	114	84	76	61	47	38	38	36	39	57	
A5	3293	2528	2261	5022	6294	6608	6324	4934	2824	1502	955	654	496	375	325	295	259	278	300	308	327	330	307	345	506	917	1667	2462	2825	2477	1834	1292	1038	916	829	707	570	457	371	305	263	231	186	161	137	119	92	83	66	57	51	39	34	37	39	61	
A6	2686	2059	1857	4411	5434	5886	5802	4714	2703	1428	886	568	419	328	293	257	223	244	271	273	299	325	292	313	447	804	1549	2258	2555	2226	1648	1106	896	820	750	666	548	434	357	285	251	212	199	166	136	115	94	77	69	55	52	38	34	36	46	37	
A7	2579	1869	1726	4154	5181	5406	5158	4264	2445	1305	750	505	364	283	240	222	184	211	225	234	247	246	229	245	356	652	1165	1703	1989	1755	1281	898	726	679	621	536	452	358	292	242	209	188	165	135	117	107	87	71	61	50	43	43	33	36	25	61	
A8	2440	1781	1573	3891	4824	5256	5142	4112	2386	1305	800	505	384	295	256	226	188	220	231	244	253	259	230	262	377	674	1204	1762	2034	1762	1345	882	767	675	617	570	473	370	299	248	225	202	181	145	127	114	99	83	74	62	55	42	38	37	47	75	
A9	2228	1656	1514	3849	5126	5622	5369	4144	2335	1266	734	440	328	246	225	189	153	172	190	193	214	245	203	231	349	636	1006	1455	1620	1408	995	697	559	523	498	426	385	302	218	212	177	155	142	119	98	93	77	63	55	49	47	37	38	35	50	59	
A10	1762	1254	1100	2926	3616	3834	3781	2987	1672	887	531	348	250	183	154	137	114	129	140	142	157	158	151	163	234	419	732	1068	1190	1020	772	544	440	408	368	336	271	223	182	154	140	125	112	96	89	80	72	57	47	44	42	37	32	29	39	87	
A11	692	481	461	1012	1193	1148	1021	673	355	186	115	76	61	46	35	33	27	29	26	23	22	20	17	17	13	11	14	12	14	15	16	15	12	15	16	17	14	15	14	15	13	16	12	13	11	13	11	9	10	11	8	9	11	15	26	60	
A12	3665	5472	6468	6364	5399	4129	3287	2500	1910	1343	1231	1184	1184	1142	1118	1120	991	1032	1007	930	866	788	723	654	588	532	482	417	350	308	269	227	195	162	140	118	99	84	74	61	51	41	34	32	26	25	20	18	13	15	18	14	17	14	25	59	
B1	3485	5258	6060	6293	5328	3951	3311	2577	1965	1322	1198	1119	1059	1049	1000	995	856	910	869	830	756	702	645	592	517	468	416	359	309	270	229	202	174	149	127	105	97	76	69	56	48	43	35	28	28	22	20	18	17	15	17	14	16	21	37	87	
B2	5823	4690	4424	7268	8979	9036	8296	6304	3876	2251	1781	1440	1254	1128	1008	945	803	804	759	722	688	622	565	524	525	651	954	1389	1642	1516	1169	843	683	608	524	433	349	284	233	192	154	125	107	92	69	59	51	43	38	37	29	32	22	29	38	86	
B3	4487	3486	3104	5981	7456	7675	7271	5736	3488	2001	1524	1196	1006	874	784	744	605	635	602	564	529	496	444	434	512	734	1161	1589	1720	1489	1123	794	639	578	523	433	347	283	230	195	159	141	114	92	76	65	56	46	39	34	38	28	27	28	37	89	
B4	3457	2566	2305	4661	5740	5942	6035	4910	2936	1733	1297	1008	830	736	632	596	495	515	504	462	418	379	349	362	478	732	1116	1441	1490	1217	876	623	513	465	424	371	301	242	198	163	141	119	99	88	75	59	54	42	40	34	29	28	27	29	38	86	
B5	2763	2037	1831	3824	4775	5107	5296	4383	2688	1557	1173	858	743	629	544	513	428	441	431	405	360	322	294	309	413	655	980	1191	1151	913	651	472	390	362	332	280	222	184	156	132	120	101	82	76	63	54	47	43	37	30	25	28	22	28	38	57	
B6	2375	1769	1541	3357	4126	4459	4769	4011	2427	1443	1085	808	696	580	512	484	402	408	398	355	302	270	250	256	349	559	833	1022	969	761	537	392	326	305	273	244	191	162	131	120	106	88	76	65	57	48	39	33	33	30	29	28	22	29	39	86	
B7	2060	1558	1350	3142	3811	4286	4587	3926	2384	1397	1079	800	727	601	525	486	410	413	396	348	300	252	224	241	319	503	737	873	830	626	439	317	271	247	219	199	168	135	113	99	88	74	66	54	49	45	37	34	27	23	25	23	22	29	39	59	
B8	1769	1233	1081	2714	3407	3845	4175	3680	2272	1361	1080	814	746	651	556	536	435	444	407	350	293	252	221	221	293	422	578	611	536	396	276	210	168	158	148	128	106	93	76	71	62	51	49	40	37	29	29	25	24	22	25	23	22	22	25	58	
B9	1886	1415	1224	2962	3705	4069	4427	3909	2408	1447	1142	876	801	704	601	581	464	451	420	358	296	243	211	217	288	454	629	718	663	504	349	258	213	199	182	164	136	108	99	84	69	66	52	45	41	38	32	35	31	27	25	19	27	22	39	58	
B10	1670	1215	1109	2712	3398	3708	4055	3592	2188	1320	1050	806	730	621	548	521	435	423	387	319	262	217	184	195	257	396	571	648	603	457	329	236	195	179	164	149	134	101	89	72	61	64	49	44	37	35	28	24	26	23	26	19	22	22	38	60	
B11	1685	1155	1014	2613	3229	3584	4006	3453	2096	1252	1002	753	693	589	516	511	418	401	362	304	253	214	185	188	250	393	549	644	597	452	325	234	195	186	165	141	120	103	89	71	68	63	54	44	39	33	29	25	27	23	26	19	22	22	38	86	
B12	5113	7719	8391	8030	6468	4684	3822	2982	2209	1497	1377	1283	1216	1192	1168	1115	978	1036	978	912	864	779	736	648	572	524	468	383	341	297	261	220	187	155	134	118	100	86	74	62	51	48	34	29	26	22	21	18	17	15	13	14	11	15	26	60	
C1	3614	5310	6415	6647	5450	4179	3451	2633	2042	1377	1271	1146	1094	1065	1036	1013	885	942	909	851	799	718	655	605	541	470	442	373	328	290	247	201	174	153	134	113	92	79	71	56	49	45	34	31	26	25	20	18	17	15	21	18	16	21	38	88	
C2	8334	6875	7242	16389	20337	19343	15736	10871	6027	3195	2112	1539	1186	977	837	762	649	686	686	747	919	921	824	878	1231	2475	5743	10959	16092	16513	13396	9581	7306	6057	4960	3937	3043	2277	1758	1388	1141	921	754	595	470	371	302	247	194	173	137	112	102	100	102	117	
C3	7877	6397	7112	17939	23534	22257	18684	13268	7175	3660	2359	1605	1192	917	771	707	570	629	607	651	829	837	759	813	1268	2694	6340	12909	19936	22051	18582	13309	10229	8511	7022	5595	4324	3318	2541	1971	1619	1313	1062	868	677	535	436	352	284	235	198	164	141	131	150	176	
C4	7126	5697	6455	17750	23780	22975	19339	13812	7502	3836	2345	1541	1125	845	710	610	502	520	520	553	716	708	627	685	1075	2407	5884	12945	21496	25431	22285	16490	12522	10216	8418	6916	5284	4090	3097	2453	1957	1614	1299	1017	831	666	527	439	341	283	249	190	166	158	165	204	
C5	5979	4839	5465	15517	20806	19883	17232	12736	6770	3394	2029	1326	933	692	568	489	398	421	405	421	528	532	449	492	754	1758	4445	10412	18463	23176	21345	15811	12070	10011	8404	6775	5360	4031	3147	2497	1997	1631	1319	1027	866	681	534	431	348	288	245	197	171	157	166	201	
C6	5341	4286	4781	14801	20216	19605	17283	12800	6739	3342	1937	1242	867	637	508	439	357	362	363	371	459	459	384	397	639	1476	3888	9210	17394	23020	22182	16808	12719	10451	8904	7230	5720	4327	3326	2604	2116	1749	1415	1104	910	710	577	454	370	307	260	214	189	166	175	201	
C7	4825	3768	4414	14087	19125	18666	16573	12326	6589	3163	1742	1089	743	530	429	352	286	303	286	287	387	369	313	330	519	1194	3199	7879	15499	21871	21990	17212	13113	11066	9281	7567	6006	4625	3532	2760	2193	1830	1500	1183	932	741	594	480	388	316	262	203	190	163	178	197	
